Word,ABBR,pronunciation,Meaning
شما ,ض,شُ, وي- دؤۉم جن به جمع او. جمع مفرد مخاطب.
شماتت ,ا,شَ- تَ, کۉمه أسؤ ښه ښنگرۉݩ- کۉمه ږۉ ڇَڇاني ښه ښنگرۉݩ-کۉݩ ښه ابره مترۉݩ ښه دي تچاست.
شمار ,ا,شُ, گڙݩت- اېک - دو- تری... .
شماردن-  شمردن ,مص,, گڙݩۉݩ.
شمارش ,ا,, گڙݩۉݩ.
شماری ,ق,, اِی کیتي-اېېډه- اِی سم- اِی پْرېنې.
شمال ,ا,شَ, اوي تیاݩ- ښېي کڙݩ.
شمال ,ا- ص,شَ, دَمو-دَمو تَڅ ښه تَچاست.
شمایل ,ص,شَ,ډؤي-ږۉکدَن. فارسي الا که گي مؤک چام- دار- معنا میلي تَچاݩ گېاس.
شمپانزه ,انگ,, اِی پېر مَکوڙ به نام او. تي کاچه سته منښ به پْرؤسته اوت- افریقا که تیاست.وَشَمه سَم جَلو که اما کټي تیاست.زرزؤرؤ که مجبيݩ میلي ږَمه بیاست.تېݩس به آډ تَوَره سته- کېݩڅه گي چَکې شته تیاس.
شمارش ,ا,شُ- رِ,گڙݩت-گڙݩۉݩ.
شمردن ,مص,شُ- مُ- دَ, گڙݩۉݩ- گڙݩت ایچۉݩ- پۉله ایچۉݩ-حساب ايچۉݩ. | پۉلهpulə – ردیفبندی- صنفبندی- شمارش مخصوص چوپانان است که شب هنگام همه مواشی خود را از روی نوعیت- جنس و عمر- می شمارند.
شمرده ,ق,شُ- مُ, گڙݩ شته- گڙاݩ گوسته- سی ټؤک ته گڙݩ شته او.
شمس ,ا- ع,شَ, سُوي-وَۍ اڅلي سُوي- پۉ اېلي سُوي.اصطلاح که کناسته لَتري وَشُمه کشره کۍ بوسته بۊ ته دي سُوي او تَچاست. گڙ ښه دي تُچاݩ گېاس. | گڙ gř– حُسن- زیبایی- احاطه- صحن.
شمس النهار ,ا,شَ- سُ- نَ, امیرشیرعلی خان به پاڇه بار به گېړي که اېک اخبار به نام اوړي. سی اخبار افغانستان به نؤشپرېن اخبار او. ۱۲۹۰ ه ق وېل که چاپ بیاسئ.
شمشاد ,ا,شَ- مْ, اېک جَلو به نام او. تَشو به پوټ سساری نیدله تیاس. ننگرهار ولایت که اېک ټاو به نام دي او. | سَساری sasāre– همیشه- هروقت- هر گاه.
شمشاد قد-  قد شمشاد ,ص,, اۊتله آډ ښه تَچاست.
شمشیر ,ا,, تَرويلي- چیمو به تَرويلي- ښوچ به تَرویلي.
شمشیربازی ,ا- ص,, تَرویلي مۉش -تَرویلي میلي مۉشۉݩ ښه تَچاست.
شمشیر زدن ,مص,, تَرویلي ویۉݩ- تَرویلي میلي ښوچ ایچۉݩ.
شمشیرزن ,ص,, تَرویلي ویله-سی جن ته تَرویلي میلي بوسته که ښوچ ایچاس- سی ته ښوچ که تَرویلي بوسته که لؤټېاس.| لؤټَۇݩ ̃lüṭəw- استعمال کردن- به کار بردن- به کار بستن.
شمشیر کشیدن ,مص,, تَرویلي وَۍښَۇݩ - ښوچ ښه تَرویلي ښْپو که وَۍښَۇݩ- تَرویلي کَښۉݩ.
شمع- شمع ,ا,شَ- مْ- مَ, ویاݩس ایچَله سته اېک وَشتوک لَتري او. نؤشت تَشو ویاݩس کتي اوېښ چَمېاسئت. اېرم کي ږڙ نه چمېاست.
شمعدان ,ا,, شمع تَۇݩ سته- شمع تَۇݩ ټاو.
شمله ,ا,شَ- مْ, پَړي به اوي لَسئ کار- اوگان پَړي به اوي لَسې سته کار.
شمول ,ا,شُ, سَپروک اتر تَنَگۇݩ- سَپروک ښه ډَنَگۇݩ- سَپروک شامل ایچۉݩ.
شمه ,ا,شَ- مَّ, اپیلوک گۉن- اپیل سته گۉن.
شمیم ,ا- ص,شَ, بوسته گۉن.
شن ,ا,شِ, شو-نیکره شو- وَشتوک شېݩشي. | نیکره nikrə– ریزه- بسیار خورد- نازک.
شنا ,ا,شِ, گۉجاݩ- یاݩ.
شناگر ,ص- فا,, گۉجاݩ گر- گۉجاݩ باله- یاݩ باله-یاݩ گر.
شناخت ,ا,شِ- خْ, زڙݩۉݩ- ږَمه سؤمه- علم میلي زڙݩۉݩ. | ږَمه سؤمهẓamə sümə – آشنا - بلد- آشنایی-شناخت سرسری.
شناختن ,مص,شِ- خْ- تَ, زڙݩۉݩ-أټاو اَۇن- ږَمه سؤمه اوړي شته- ږَمه سؤمه بۉݩ. | أټاو اَۇݩa-ṭāw aw̃ - شناختن-شناخت دوباره- شناخت مجدد.
شناخته ,ص- مف,شِ- خْ, ږَمه سؤمه- بلد- آشنا.
شناس- بشناس ,ام,شِ, زڙݩ !-زڙݩ کي وڙآ.
شناس ,ص- فا,شِ, زڙݩله. مثلاً:  خدای زڙݩله - بوستو زڙݩله.
شناسا ,ص,شِ, ږَمه سؤمه.
شناساندن,مص,, زڙݩوُݩ- کي جن کۉݩ که زڙݩۇݩ-کي جن کۉݩ که معرفي ایچۉݩ -تنؤجیت زڙݩۇݩ.
شناسایی ,ق,, زڙݩۉݩ- زڙݩۇݩ بار.
شناسنامه ,ا,شِ- سْ, تذکِره- سی چي ته اوده منښ به نام- تَشو به آر سی چي که چیترې شته تیاس. تذکره نؤشت کاغذ چي اوړي- اېرم اېک وَشتوک کارت پرېاست. | آر ār– حال و احوال.
شناور ,ص- فا,شِ- وَ, سی لَتري ته آو که اؤتلاو کرکېاس.
شنبه ,ا,شَ- بَ, نؤشتار واس- اگڙ به نؤشتار واس.
شنزار ,ص,شِ- نْ, شو اوده- شو دیۋړه.
شنفتن ,مص,شِ- نُ- فْ, پَېِ اۉݩ(پَېَۉݩ)- أکار نَشۉݩ- کۉمه ڇا کۍ مېله پَېَ اۉݩ- أکار نَشۉݩ.
شنگ ,ص,شَ, گڙ اوده- تاتېي- سون پْرؤ- اینیک بینیک-ادرمه(مذ) ادرمي (مو). شوخ وشنگ- تاتېي- اینیک بینیک.
شنگ ,ص,شِ, ای کۉڼوک- کسؤ به اِی کۉڼوک- کسؤ به اِی اپیلوک. یک شِنگ- اِی اپیلوک.
شنو-  بشنو ! ,ام,شْ- نَ, أکار ناش- پَې pae! .
شنوا ,ص- فا,شِ- نَ, پَېله- أکارنشَله.
شنواننده ,ص- فا,, أکار نَشوَله- پَېوَله.
شنوانیدن- شنواندن ,مص,, أکار نشَۇݩ- اؤرنگه أکار نشَۇݩ- پَېوُݩ.
شنوایی ,ا,, پَې اۉݩ- أکارنَشۉݩ به حس. أکار نَشۉݩ- ماچمَتراݩ به پۉچ حس کني اېک حس او.
شنودن ,مص,شِ, أکار نَشۉݩ- پَې اۉݩ (پَېۉݩ).
شنویدن ,مص,, أکار نَشۉݩ- پَې اۉݩ.
شنوینده ,ص- فا,, أکار نَشَله- پَېلَه.
شنیدن ,مص,شَ, أکار نَشۉݩ- أکار اۉݩ- پَېِۉݩ.
شنیع ,ص,شَ, ابرَه- اږَکۉݩ- اږَکۉݩ سته.
شنیگل ,ا,شَ,کلښؤم به اېک دېش به نام او. واݩت دېش به سُوي پۉ اېلي کڙݩ او. تَشو که نیشېي تَته برا اوشتیک نیشیک اوده اوت.
شو-  شب ,ا,شَ, ږات.
شوپ ,ا,شُ, چېݩ- اِی چېݩ-اِی اشؤر- آو به اِی چېݩ- وشیپ به اِی اشؤر- زور به اِی اشؤر کۍ اِی چېݩ- ښه تَچاست.
شوارع ,ا- ج,شَ- رِ, پۉݩت- اؤچؤ پۉݩت. شارِع باښ به جمع او.
شوال ,ا,شَ- وّ, هجری قمری وېل به دوشۉم ماس به نام او.
شوخ,ص,شُ, نَږَن-أږَنه- ابشیري- اشْرو.
شوخ چشم ,ص,شُ- چَ, لَج نه اوده-نه لَجَله سته- مؤشيݩ کڙݩ اچېݩ ایچله سته.
شوخ طبع ,ص,شُ- طَ- بْ, مۉشکه- اسبا پؤره سته- کنیک مۉشیک اوده.
شوخی,ق,,ترنناټ- تنمناݩ به ترنناټ. اصطلاح که نیشنه کرېچ-نه جراو بړۉݩ دي تَچاست. ایږنگ بیږنگ به ویدۇݩ ښه دي ترنناټ تَچاست.| ایږنگ بیږنگ iẓịŋ biẓịŋ– مردم ما معتقد اند که بعضی اوقات جن ها آدم ها را به گونه های مختلف می ترسانند. در مجموع هیولا های ترس آور را گویند.
شور ,ص,شُ, ڇاره- پیشته- پیشته بۊسته- اوناو که وڙک وَشمه بوستو ښه تَچاست
شور ,ا,شُ, ڇا باس- اړاړؤ.
شور ,ا,,جَربۉټ-جَربۉټ ایچۉݩ- کسؤ ښه نیشي مېله ایچۉݩ.
شورا ,ا,شُ, اېښېي بْن-نیشي مېله کټي اېک مېله جؤکۇݩ ښه تچاست. کلښاݩ به نؤشت دؤ اېښېي بْن اوړيت. اېک دېش به دۊښټۊ ملده منښ به اوړي- سی اسلام اڅۉېݩ پؤس بۊ. اېک گي اۉرېي بار اوړي- سی گي اجا دي کلښؤم دېش دېش که اوړه. دؤ اکه شورا نؤشتره آریایی مجیݩ به کلښاݩ ښه دريشته اوت. اۉرېݩ به اېښېي بن ښه سَبها ملداݩ به اېښېي بن ښه گي سَمیتي تچاسئت. هندوستان ولسی جرگو ښه اېنېري دي لوگ سَبها تچاست. | ملده maldə– ازنگاه لغوي به معنای مال دار و دارا بوده؛ اما در فرهنگ قبل از اسلام- به افراد دارای مقام های اجتماعی استعمال می شد.
شورآبه ,ا- ص,شُ- بَ, وڙک اوده آو- وڙک آو.
شوراندن ,مص,شُ, اَیݩلَۇݩ- مۉښ کرَوُݩ- تَلَۇݩ- اؤجؤݩجۇݩ. | تَلَۇݩtaləw̃ - تحریک کردن برضد کسی. | اؤجؤݩجَۇݩüjüjəw̃ - به شور آوردن- به حرکت آوردن-متحرک ساختن.
شوراننده ,ص- فا,شُ- نِ, اؤجؤݩجوَله- اَیݩلَوَله- تَلوَله- مۉښ کرَوَله.
شورانگیز ,ص- فا,شُ, اؤجؤݩجوَله سته- مۉښ کرَوَله سته- تَلوَله سته.
شورای قریه ,ا- ص,شُ- قَ, اۉرېي-مېله وڙݩ.
شوربا-  شوروا ,ا,شُ, سؤۋي- انا به سؤۋي.
شور بخت ,ص,شُ- بَ, وار پرتي شته-ببؤجه مؤک اوده- طالع نه اوده- ابْره طالع اوده.
شور چشم ,ص,شُ- چَ, اچېݩ تَوَله-اچېݩ تَوَله سته- اچېݩ آله سته. چشم نظری.
شور دادن ,مص,شُ, اَیݩلَۉݩ.
شورخوردن ,مص,شُ, اَیݩلۉݩ- وېپه سَلۉݩ- کرکۉݩ-کؤسکۉݩ.
شورش ,ا,شُ- رِ, اؤجؤݩجۉݩ- أپا اوشتۉݩ- کۉمه ضد اوشتۉݩ- حکومت به ضد اوشتۉݩ. | أپااوشتۉݩa-pā oštũ -شورش- شورش کردن- قیام نمودن-قیام علیه نظام.
شوروا-  شوربا ,ا,شُ, سؤۋي- انا به سؤۋي.
شور و غوغا ,ا,شُ- غَ,ڇاباس- اړاړؤ.
شور و مستی ,ق,شُ- مَ, وېگار- وېگار بار.
شوره ,ا,شُ, ښُوره- مِې بؤم که کشره سته ښوره تیاس- تَشو ښه تَچاست. کلښه اسلام که نؤشت تَشو که انگریک پېمیلاو وراښ ښه اۉښېي سَرزېاسئت.
شوره زار ,ص,شُ, ښُوره اوده- ښور اوده بؤم- ښه تَچاست.
شورۀ سر ,ا,شُ- سَ, ښېي به وَکمه- ښېي به کیټال.
شوری- شورا ,ا,شُ,نیشي مېله ایچۉݩ- اېښېي بي کسؤ ښه مېله مېله تیۉݩ.
شورای ملی ,ا,شُ, مملکت به نیواݩ ښه تَچاست ته- تې مملکت به کویدؤم اچېݩ ایچۉݩ- قانون تصویب ایچۉݩ ښه اېښېي بۊ سته تیاست.| نیواݩniwā̃ – نماینده- فرستاده- سفیر.درواقع هر وکیل پارلمان نیواݩ است.
شوریدن ,مص,شُ- رِ, اؤجؤݩجۉݩ - مۉښ که اَیݩلۉݩ- مۉښ که بېرپَلۉݩ- نه دَماݩۉݩ.
شوریده بخت ,ص,شُ- بَ, وار پرتي شته- بَبؤجه مؤک اوده-طالع نه اوده- ابْره طالع.
شوریده حال ,ص,شُ, اترلېک- درۉکۉ سۉکۉ-کۉمه آر ابْره بالو ښه تَچاست. پَریشان.
شوق ,ا,شَ, پَړَکه بؤجۉݩ- پَړک باله-کۉݩ ښه پَړک باله-کسؤ ښه پَړک باله. | بؤجۉݩbüjũ – بیدار شدن.
شوک ,ا- انگ,شُ, څیال-ککړاو جلیکۇ. طب به اصطلاح که سی حال ښه تَچاست ته انسان أپامی امتره جلیکي تَشو به انه پؤڅؤ جیجَله بۉم گېاست. |څیال cial– فلج لحظوی-آن چه که انسان دفعتاً برای لحظاتی به سکوت فرو می رود و ذهن ازکار می ماند- را می گویند. څيال أښېي گو-لحظۀ بیخود شد- لحظۀ گنکس شد.
شوکت ,ا,شَ- کَ, کاټ بار- اۊلَه بار- اېراج- شَنگ- اؤدۉڙ.
شوکران ,ا,شُ, اېک یۉس مؤټو به نام او. تَشو به کۊۋ ويش او. سی کۉݩ اې پیشتوک یوڙݩ ته مَېِویاس. | مَېِۇݩ maew̃ - میراندن.
شوم ,ا- ص,شُ, ابْره- بوي نه اوړي شته.
شوهر ,ا,شَ- هَ, ماچ- ایشترڙ اوده اۉړتو ښه تَچاست.
شوهر دار ,ص- مو,شَ, ماچ اودي- ماچ اودي مۊشي- ښه تَچاست.
شوی-  شوهر ,ا,شُ- شَ- هَ, ماچ- ایشترڙ گې مۊشي به ماچ.
شوی دیده ,ص,شُ, ایشترڙ گې مۊشي.
شه-  شاه ,ا,شَ, پاڇا- گول به دۊښټۊک.
شهاب ,ا,شَ, اڙݩ جیباک- اڙݩ زْل.
شهاب ثاقب ,ا,شَ- قِ, سی اڙݩ لَپه ته ږات ديلو که سَني شته وڙاݩ گېاس.
شهادت ,ا,شَ- دَ, سی مېله مَترۉݩ ته اچېݩ میلي وڙݩته سته او. کلمۀ شهادت – اشهد ان لا اله الا اللّه. شهادتین – اشهد ان لا اله الا اللّه و اشهد ان محمداً رسول اللّه. اللّه(ج) به وحدانیت ښه شهادت- محمد(ص) پیغمبري ښه شهادت.اي شهادت باښ ښه- ښاښ دي تَچي بړيېمیش. اللّه(ج) به پوڙکي بار ښه ښاښ- محمد(ص) به پیغمبري ښه ښاښ.
شهادت ,ص,شَ- دَ, اللّه به پۉݩتی ږݩاݩۉݩ-اللّه به پۉݩت که ښې پْرۉݩ- ښه تَچاست.
شهادتنامه ,ا,شَ- دَ- مَ, ښاک چي-تحصیل کوڙݩستو به ښاک- فراغت به ښاک- سباک کوڙݩستو به ښاک. | ښاکṣāk – شاهد-آن که واقعه را به چشم خود دیده است- شاهِد عینی.
شهامت ,ا,شَ- مَ, یالي بار-شؤره بار- زو اوده بار.
شهبال ,ص,شَ- هْ, اۊلَه درَمال- نینگڅاݩ به اۊلَه درَمال.
شهبانو ,ص- ا,شَ- هْ, پاڇا به ایشترڙ- پاڇا به ایشتري.
شهپر- شاهپر ,ا- ص,شَ- هْ- پَ, اۊلَه پټَۍ- نینگڅاݩ به اۊلَه پټَۍ.
شهد ,ا,شَ- هْ, مېڇه- مېڇئ.
شهداء ,ا- ج,شُ- هَ, شهید باښ به جمع او.
شهر ,ا,شَ- هْ, ښار- سی ټاو ته تَشو که اۊلَه اۊلَه دوشت پا تَۍ- ویشتي پۉݩت- وَشَمه مجبي- اوت.
شهر آراء ,ص- فا,شَ, ښار سَݩکَوَله- ښاره تاتېي ایچَله.
شهر بانی ,ا- ص,شَ, ښار اِداره ایچۉݩ- ښار به سَسا دَمۉݩ.
شهرت ,ا,شُ- هْ- رَ, وڙݩاݩۉݩ- زڙݩاݩۉݩ- بوسته بار کۍ ابْره بار میلي زڙݩاݩۉݩ.
شهر دار ,ا- ص,شَ, ښار اوده- ښار به دۊښټۊک- ښاروال.
شهرداری ,ا,شَ, ښار به اِداره- ښار به سی اِداره ته ښار به کویدؤم سَمڙۉݩ ښه تیاس. اوگان الا که شاروالي تَچاست.
شهر سازی ,ا,شَ, ښار ایچۉݩ-ښار اؤجَۇݩ- پۉݩت- دؤدْر- دوشت پا تَۍ یؤپَۇݩ. | یؤپَۇݩyüpəw̃ - ساختن- ساختمان کردن- ایجاد کردن- ترمیم کردن-باز سازی کردن.
شهرک ,ص- ا,شَ- هْ, وَشتوک ښار.
شهره ,ص,شُ- هْ- رَ, نام اوده-نام گوسته- زڙݩاݩ گوسته- ابْره کۍ بوستو میلي زڙݩاݩ گوسته.
شهره آفاق-  شهرۀ عالم ,ص,شُ- هْ- رَ- لَ, سَپروک دنیا که نام پَېاݩ گوسته- مشهور اوړي شته.
شهر یار ,ا- ص,شَ, پاڇا- ښار به دۊښټۊک.
شهریاری ,ق,شَ, پاڇه بار.
شهزاده ,ا- ص,شَ- هْ, پاڇه کوڙ- پاڇا به پؤتر.
شهسوار ,ص,شَ- سَ, بوسته که گۉړو که نیشَله.
شهکار ,ص,شَ- هْ, کۉݩ نه کوڙݩ کوي- کي نه بَړي کوي.
شهنشاه-  شاهنشاه ,ا- ص,شَ, پاڇاݩ به پاڇا- پاڇاݩ کنی پَۍ لَسئ سته پاڇا.
شهوات ,ا- ج,شَ- هْ, شَهوت باښ به جمع او.
شهوار ,ص,شَ, پاڇا ښه پېډنگي شته- پاڇا ښه پېکۉړي شته.
شهوانی ,ص,شَ, اجره- وَشَمه اجره- شَهوت اوده-وَشَمه شَهوت اوده.
شهوت ,ا,سَ- هْ- وَ, کسؤ ښه وَشَمه پَړک باله- کسؤ ښه وَشَمه زو اَیݩلَله- نفس به پَړک- شَهواني پَړک. اي باښ به جمع شَهَوات او.
شهوت آلود ,ص- مف,شَ- وَ,اجره- شَهوت لیپټرو.
شهوت انگیز ,ص- فا,شَ- وَ, شَهوت اؤجؤݩجوَله- شَهوت بؤجَوَله.
شهوت بار ,ص- فا,شَ- وَ,سی ته وَشَمه شهوت اوده او.
شهوت پرست ,ص- فا,شَ- وَ- پَ, نفس به پَړک به تابع-سی ته پْروش ټاو ایچۉݩ به بینَن که تیاس. | پْروش ټاو ایچۉݩ proš ṭāw ičũ– مجامعت- جماع کردن.
شهوت ران ,ص- فا,شَ- وَ, سی جن ته پْروش ټاو ایچۉݩ به بینَن که تیاس.
شهود ,ا- ج,شُ- هُ, ښاک. شاهد باښ به جمع او.
شهید ,ا- ص,شَ- هِ, سی ته تَشو که کس چؤناگوسته نه او. اللّه(ج) به اېک نام او- اللّه به پۉݩت که ږݩاݩ گوسته.
شهیر ,ص,شَ- هِ, نام گوسته- نام اوده- سَپروک که زڙݩاݩ گوسته منښ.
شهین- شاهین ,ص- ق,شَ- هِ, پاڇا به- اېک نینگڅو ښه دي تَچاست.
شی ,ق,شَ, لَتري- ټؤک.
شیاد ,ص,شَ- یّ, تؤپړوَله- پْوي پْراله جن.
شیار ,ا,شِ, دْرسکې شته- سی لڙݩ ته قُلبه تول اوي اۉ نَشۉݩ میلي ایچاس.
شیار کردن ,مص,شِ, بي دَتۉݩ ښه تول قلبه ایچۉݩ- بي دَتوݩ ښه اوي اۉ نَشۉݩ-قلبو به لڙݩ.
شیاریدن ,مص,, کڙݩۉݩ ښه تول اوي اۉ نَشۉݩ-کېراو ایچۉݩ- قُلبه ایچۉݩ.
شیاطین ,ا- ج,شَ, تی جنس ته تېݩس به ابْره ډؤي او- تی ماچمَتراݩ به متَنگه اوت. ابْره کوي ښه ماچمَتراݩ وَکتېاست ښېي مښلېاست. سْکه نام به مفرد شیطان او.
شیاع ,ا,شِ, پَته ښَچۉݩ- ښَݩټي بۉݩ.
شیب ,ص,شِ, اۉ تیاݩ- اۉتیاݩ سته- بور ښېي سته.
شیپور ,ا,شِ, سُرنَۍ- پؤ که ویۉݩ سته سُرنا-شیپرۉݩ پْرؤسته لَتري به نام او.
شیپورچي ,ص- فا,شِ, سُرنا ویله- سُرنا ویله جن.
شیخ ,ص,شَ, دۊښټۊ منښ- اۊلَه منښ- بینَن اوده منښ- مَټو به دۊښټۊک- بوسته ابْرو نام پراله جن. |بوسته bostə– خوبی- نیکی. | بۊ سته bö stə– شده- واقع شده- آن چه که واقع شده. |ابره abrə- بدی-خرابی-نا مناسب.
شیخ الاسلام ,ص,شَ- اِ, نؤشت دولت دیني عالم اِي لقب پرېاسئ.
شیخ السفرا ,ص,شَ- سُ- فَ, سی سفیر ښه تَچاست ته اېک مملکت که وَشمه تینه سته تیڙ- کۍ گي اؤرنگه سفیراݩ کنی تَشو به مَچیوار وَشَمه تیڙ.| مَچیوارmačiwār – عمر -زنده گی- حیات.
شیخ الشیوخ ,ص,شَ- شُ, شیخاݩ به دۊښټۊک - شیخاݩ کني شیخ.
شیوخیت ,ا,, دۊښټۊ بۉݩ- دۊښټۊ بار.
شیخه ,ص- مو,, دۊښټۊ مۊشي ښه تَچاست.
شید ,ا,شِ, ویاݩس-سُوي ویاݩس- سُوي به ویاݩس.
شیدا ,ص,شَ,نارگو- نار گې بېږۉره بۊ سته- عاشق.
شیر ,ا,شِ, سئ- اېک أدا تیله يوښ کوښ به نام او.
شیر ,اشِ,,زور- گا وَسېݩ به زور- سی زور ته اشا گې مۊشی به چؤچؤ که اِېاس- سی زور ته ایشترکي چؤچؤ اوده حیوان زې ته اِېاس.
شیرافکن-  شیرافگن ,ص- فا,شِ- اَ, زو اوده- شؤره- نه ویدله- سې نڙسته ته سئ أگوچوۋ وي ږݩاس.
شیربچه ,ص,شِ- بَ, سئ کوڙ- سئ به کوڙ.
شیربرفی ,ا- ص,شِ- بَ, زئم به سئ-سی منښ ښه کنایه او ته- سی پېکڅئ ویدوݩ سته- اما باطن که گي پوکسؤک تیاس. | پوکسؤک poksük– بۉچ-میان تهی- میان خالی.
شیربرنج ,ا,شِ- نْ, سی اوناو ښه تَچاست ته شیلې مَۍ به – ی زور به پَچاست.
شیربها ,ا,شِ- بَ, مۊشي کوڙ به مال- سی مال ته مۊشي کوڙ به تَتوس ویدي که وېچاس. مَهریه. | ویدي widi– نامزد.
شیرپنجه-  شیرچنگ ,ص,شِ- پَ-  شِ- چَ, سئ به چپټه اوده- جۉݩت به چپټه اوده-ککړه چَپټه اوده-ښَچَمه چَپټه اودو ښه تَچاست.
شیر خشک ,ا- ص,شِ- خُ- شْ, دْڙݩوي شته زور- سی زور ته پسؤلیاݩ پْرؤسته بۉتل که دَتي شته تیاس.
شیرخوار ,ص- فا,شِ, زورکا- سی وَشتوک ښه تَچاست ته اجا اېس به زور پیاس.
شیر خوارگاه ,ا,شِ, سی ټاو ښه تَچاست ته سېوۋ زورکا تنمناݩ سَمَټیاست.
شیردل ,ص,شِ- دِ, زو اوده- نه ویدله- نه ویدله منښ ښه تَچاست.
شیردوش ,ص- فا,شِ, زور دۉوَله-سی ته زور دۉوَیاس.
شیر ده ,ص- فا,شِ- دِ- هْ, زور ْپرېلي-سی ایشترکي ته تَشو به اۉپۉجي شتو اجا زور پيوېاس.
شیر زا ,ص,شِ, زور وَشَمه ایچَله دَرؤ ښه تَچاست.
شیر زاد ,ص,شِ, سئ به اۉ پۉجي شته- سئ به کوڙ. زو اوده منښ ښه پېویاو تَچاست. | پېویاوpe-wiāw – کنایه- طنز -گوشزد-به اشاره.
شیر زن ,ص,ش- زَ, زو اودي مۊشي ښه تَچاست.
شیر ژیان ,ص,شِ, ویش بۊسته سئ- ڇَڇله سئ.
شیرک ,ا- ص,شِ- رَ, وَشتوک سئ.
شیرکردن- شیرک کردن ,مص,, کي جن زوپْرۉݩ- کس کوي ښه زو پَر پْرۉݩ- زو پَر پْری پَۍشتَۇݩ.
شیرگرم ,ص- ق,شِ- گَ, کؤتاپ-کؤتاپ آو- نه شېله نه گي اؤښي سته آو ښه تَچاست.
شیرمال ,ا- ص,شِ, زور پېمیلې اۊۋ- سی اۊۋ ښه تَچاست ته تَشو به برېي زور میلي اۉگۉړې شته تیاس.
شیر ماهی ,ا,شِ, اۊلَه مَڅو ښه تَچاست.
شیر مرد ,ص,شِ- مَ, زو اوده منښ- سئ پْرؤ منښ-جۉݩت پرؤ منښ- شؤره منښ- ښه تَچاست.
شیر مست ,ص,شِ- مَ, زور مَست- سی وَڅله- سی چؤله- سی چۉݩ ته تَشو اېس به زور وَشَمه پي شته وڙ.
شیروش ,ص,شِ- وَ, سئ پْرؤ- سئ پْرؤ شؤره- سئ پْرؤ زو اوده.
شیره ,ا,شِ, جۉښه- مۉره-سی مۉره ته اله پَلو به بېرښېاست.
شیره کشیدن ,مص,شِ, جۉښه بېرښَۇݩ- مۉره بېرښَۇݩ.
شیرین ,ص,شِ, مۉره- مۉره سته- زور پْرؤ مۉره- مۉره ټؤک ښه تَچاست.
شیرین بیان ,ص- فا,شِ- بَ, چیچلیکې مېله اوده- زوډۉنگو که نیشَله مېله اوده.
شيرین زبان ,ص,شِ- زَ, سی ته تَشو به مېله پَړکۉݩ سته او.
شیرین سخن ,ص,شِ- سُ, بوسته مېله اوده- سی ته تَشو به مېله أکۍ گېاس. خوش صحبت.
شیرین شدن ,مص,شِ, مۉره بۉݩ.
شیرینی ,ا,شِ- رِ, مۉره-مۉره بار- بۉرو به اېروس اوده سته- تی يۉݩ ټؤک ته انۉڙ- برېي- بۉرو اېکݩتاو اوېښ پېر اوناو سرزېاست. | اوېښaweṣ – زیاد- بسیار. | پېرper – قِسم-گونه- اقسام- شکل-چِهره.
شیرینی پز ,ص- فا,شِ- پَ, شیریني پَچَله-سی جن ته شیریني پَچاس.
شیشلیک ,ا,, اېک کباب به نام او.
شیشه ,ا,, پرسئ شته ښپاݩ اله سته لَتري به نام او. شو کس اؤرنگه لَتري ۋیلاو تَشو سرزېاست.
شیشه بر ,ا- ص,شِ- بُ, شیشو څنَله جن- شیشو څنَله سته لَتري.
شیشه کار ,ص- فا,, شیشو به سَرزې لَتري- سی جن ته شیشو به لَتري سَرزېاس.
شیطان ,ا,شَ, خبیث- شَریر- مُتمرِد- نافرمان- پَلید روح. اي باښ به جمع شیاطین او.
شیطنت ,ا,شَ- طَ- نَ, ابْره بینَن- نیمالی کوي.
شیعه ,ا,شِ- عَ, مسلماناݩ به اېک فرقو به نام او. تی تَچاست ته حضرت محمد(ص) که پَتم خلافت به حق حضرت علی(ک) به اوړي. شیعه فرقو به تری چپه اوت. دوازه امامی- اسماعیلیه- زیدیه.
شیفته ,ص,شِ- تَ, نار گې درۉکۉسۉکۉ بۊسته-نار گوسته- عاشِق.
شیفته گي ,ق,شِ- فْ- تَ- گِ, نارگو مېله- نار گوسته-عاشِق بۉݩ.
شیک ,ص- انگ,شِ, څَن پَنه- اینیک بینیک- سوݩ- ډَوَل- تاتېي.
شیک پوش,ص,شِ- پُ, څَن پَنه-بوسته ادچام امیچَله- پېر پېر ادچام امیچَله جن ښه تَچاست.
شیله ,ا,, ښوت- اۉښلي آوه ښوکړه کوڙݩ سته- وَړۉ آوه ښوکړه کوڙݩ سته-ټاو ښه تَچاست.
شیمی-  کیمیا ,ا- فر,, سی علم ښه تَچاست ته ککړه لَتري به طبیعي خواص- تېݩس به ترکیب- تجزیه- تېݩس به اېک سېک که تاثیر به مېله مَتراس.
شیمی دان-  کیمیا دان ,ص- فا,, کیمیا به علم زڙݩله-سی جن ته کیمیا به علم زڙݩاس.
شیوا ,ص,, أکۍ نَشۉݩ سته- أکۍ نَشۉݩ سته مېله-أکۍ نَشي بَړۉݩسته مېله.
شیوخ ,ا- ج,, دۊښټۊ. اي باښ به مفرد شیخ او. شیخ – دۊښټۊ.
شیوع ,ا,شُ- یُ, وڙݩاݩۉݩ.
شیون ,ا,شَ- وَ, اوي نَشي اۉڙۇݩ- اۉڙوي ابوبار ایچۉݩ. | ابوبار abo bār– زاری-زار ناله گی.
